DATE,W994RC1Q027SBEA
1960-01-01,9.539
1960-04-01,12.862
1960-07-01,18.488
1960-10-01,23.013
1961-01-01,26.197
1961-04-01,24.866
1961-07-01,24.908
1961-10-01,23.717
1962-01-01,25.252
1962-04-01,25.581
1962-07-01,25.961
1962-10-01,25.404
1963-01-01,23.18
1963-04-01,21.185
1963-07-01,24.018
1963-10-01,24.768
1964-01-01,29.866
1964-04-01,32.714
1964-07-01,31.08
1964-10-01,27.849
1965-01-01,21.813
1965-04-01,23.384
1965-07-01,32.817
1965-10-01,32.665
1966-01-01,27.058
1966-04-01,26.087
1966-07-01,30.271
1966-10-01,35.413
1967-01-01,44.973
1967-04-01,43.511
1967-07-01,44.635
1967-10-01,41.67
1968-01-01,37.339
1968-04-01,40.119
1968-07-01,31.699
1968-10-01,30.23
1969-01-01,20.428
1969-04-01,20.077
1969-07-01,27.559
1969-10-01,28.93
1970-01-01,41.051
1970-04-01,52.17
1970-07-01,59.639
1970-10-01,65.156
1971-01-01,63.722
1971-04-01,67.725
1971-07-01,67.677
1971-10-01,61.835
1972-01-01,52.176
1972-04-01,51.303
1972-07-01,47.479
1972-10-01,50.656
1973-01-01,43.94
1973-04-01,54.179
1973-07-01,52.991
1973-10-01,57.307
1974-01-01,63.751
1974-04-01,46.855
1974-07-01,58.477
1974-10-01,79.718
1975-01-01,126.562
1975-04-01,180.302
1975-07-01,139.551
1975-10-01,147.485
1976-01-01,126.688
1976-04-01,108.872
1976-07-01,103.339
1976-10-01,103.836
1977-01-01,80.306
1977-04-01,78.394
1977-07-01,79.264
1977-10-01,72.03
1978-01-01,68.875
1978-04-01,61.892
1978-07-01,72.39
1978-10-01,73.494
1979-01-01,65.648
1979-04-01,71.107
1979-07-01,84.201
1979-10-01,83.904
1980-01-01,97.273
1980-04-01,149.355
1980-07-01,170.412
1980-10-01,124.142
1981-01-01,119.998
1981-04-01,117.359
1981-07-01,123.224
1981-10-01,164.686
1982-01-01,182.441
1982-04-01,213.806
1982-07-01,220.24
1982-10-01,246.726
1983-01-01,269.221
1983-04-01,218.955
1983-07-01,222.77
1983-10-01,196.701
1984-01-01,150.564
1984-04-01,145.947
1984-07-01,159.865
1984-10-01,164.321
1985-01-01,143.154
1985-04-01,180.808
1985-07-01,153.697
1985-10-01,148.045
1986-01-01,149.73
1986-04-01,159.068
1986-07-01,168.505
1986-10-01,131.632
1987-01-01,145.748
1987-04-01,80.398
1987-07-01,102.405
1987-10-01,110.333
1988-01-01,128.582
1988-04-01,143.297
1988-07-01,124.645
1988-10-01,125.172
1989-01-01,115.054
1989-04-01,151.705
1989-07-01,179.885
1989-10-01,192.783
1990-01-01,216.087
1990-04-01,242.982
1990-07-01,234.167
1990-10-01,282.979
1991-01-01,361.351
1991-04-01,396.957
1991-07-01,391.592
1991-10-01,409.839
1992-01-01,444.415
1992-04-01,430.273
1992-07-01,439.823
1992-10-01,407.097
1993-01-01,417.333
1993-04-01,367.619
1993-07-01,369.799
1993-10-01,291.531
1994-01-01,281.665
1994-04-01,237.679
1994-07-01,248.353
1994-10-01,236.505
1995-01-01,256.809
1995-04-01,261.222
1995-07-01,240.769
1995-10-01,247.398
1996-01-01,233.657
1996-04-01,183.42
1996-07-01,143.179
1996-10-01,119.864
1997-01-01,86.305
1997-04-01,72.304
1997-07-01,36.476
1997-10-01,0.388
1998-01-01,-59.508
1998-04-01,-103.079
1998-07-01,-150.721
1998-10-01,-170.736
1999-01-01,-179.385
1999-04-01,-217.778
1999-07-01,-254.042
1999-10-01,-286.228
2000-01-01,-433.207
2000-04-01,-420.49
2000-07-01,-452.903
2000-10-01,-431.127
2001-01-01,-387.92
2001-04-01,-263.751
2001-07-01,-16.491
2001-10-01,-47.448
2002-01-01,105.66
2002-04-01,113.046
2002-07-01,126.849
2002-10-01,153.075
2003-01-01,147.191
2003-04-01,208.117
2003-07-01,269.154
2003-10-01,197.045
2004-01-01,193.902
2004-04-01,94.996
2004-07-01,57.592
2004-10-01,-62.531
2005-01-01,-122.856
2005-04-01,-148.7
2005-07-01,-66.135
2005-10-01,-297.555
2006-01-01,-324.2
2006-04-01,-355.772
2006-07-01,-401.071
2006-10-01,-333.252
2007-01-01,-293.263
2007-04-01,-245.846
2007-07-01,-88.977
2007-10-01,2.765
2008-01-01,20.852
2008-04-01,390.274
2008-07-01,380.993
2008-10-01,795.873
2009-01-01,1423.369
2009-04-01,1624.816
2009-07-01,1557.57
2009-10-01,1486.398
2010-01-01,1515.273
2010-04-01,1514.418
2010-07-01,1350.643
2010-10-01,1352.429
2011-01-01,1245.224
2011-04-01,1267.011
2011-07-01,1270.353
2011-10-01,1245.235
2012-01-01,1088.992
2012-04-01,1072.868
2012-07-01,1107.893
2012-10-01,1070.179
2013-01-01,752.798
2013-04-01,487.582
2013-07-01,710.525
2013-10-01,586.462
2014-01-01,510.585
2014-04-01,544.001
2014-07-01,585.827
2014-10-01,521.269
2015-01-01,469.031
2015-04-01,351.385
2015-07-01,458.544
2015-10-01,376.082
2016-01-01,565.669
2016-04-01,587.431
2016-07-01,629.241
2016-10-01,642.918
2017-01-01,684.714
2017-04-01,664.126
2017-07-01,732.493
2017-10-01,-294.206
2018-01-01,812.881
2018-04-01,911.182
2018-07-01,750.984
2018-10-01,800.084
2019-01-01,805.181
2019-04-01,805.592
2019-07-01,909.26
2019-10-01,1003.537
2020-01-01,1016.415
2020-04-01,4717.562
2020-07-01,3082.107
2020-10-01,1665.589
2021-01-01,3642.256
2021-04-01,1834.073
2021-07-01,1321.359
