DATE,AD01RC1Q027SBEA
1960-01-01,-7.674
1960-04-01,-11.139
1960-07-01,-14.275
1960-10-01,-18.129
1961-01-01,-20.76
1961-04-01,-21.655
1961-07-01,-20.606
1961-10-01,-19.817
1962-01-01,-22.139
1962-04-01,-21.837
1962-07-01,-21.187
1962-10-01,-21.834
1963-01-01,-19.211
1963-04-01,-16.84
1963-07-01,-18.798
1963-10-01,-18.515
1964-01-01,-21.674
1964-04-01,-26.739
1964-07-01,-22.954
1964-10-01,-20.274
1965-01-01,-16.151
1965-04-01,-17.115
1965-07-01,-26.245
1965-10-01,-26.536
1966-01-01,-22.426
1966-04-01,-22.771
1966-07-01,-27.07
1966-10-01,-31.331
1967-01-01,-40.71
1967-04-01,-40.256
1967-07-01,-41.049
1967-10-01,-38.837
1968-01-01,-35.731
1968-04-01,-38.093
1968-07-01,-29.865
1968-10-01,-29.568
1969-01-01,-18.759
1969-04-01,-19.573
1969-07-01,-25.857
1969-10-01,-26.401
1970-01-01,-37.14
1970-04-01,-47.127
1970-07-01,-55.908
1970-10-01,-62.968
1971-01-01,-59.247
1971-04-01,-67.877
1971-07-01,-67.712
1971-10-01,-64.945
1972-01-01,-57.23
1972-04-01,-56.08
1972-07-01,-51.118
1972-10-01,-53.471
1973-01-01,-41.77
1973-04-01,-48.807
1973-07-01,-40.562
1973-10-01,-41.984
1974-01-01,-47.269
1974-04-01,-44.227
1974-07-01,-58.207
1974-10-01,-75.362
1975-01-01,-108.72
1975-04-01,-158.907
1975-07-01,-121.227
1975-10-01,-125.919
1976-01-01,-113.595
1976-04-01,-99.928
1976-07-01,-100.984
1976-10-01,-100.058
1977-01-01,-88.377
1977-04-01,-87.296
1977-07-01,-87.195
1977-10-01,-91.034
1978-01-01,-93.978
1978-04-01,-74.84
1978-07-01,-83.851
1978-10-01,-74.847
1979-01-01,-67.559
1979-04-01,-73.905
1979-07-01,-81.88
1979-10-01,-86.612
1980-01-01,-108.06
1980-04-01,-139.635
1980-07-01,-142.394
1980-10-01,-117.559
1981-01-01,-118.462
1981-04-01,-117.314
1981-07-01,-116.265
1981-10-01,-160.204
1982-01-01,-181.909
1982-04-01,-196.488
1982-07-01,-234.384
1982-10-01,-264.088
1983-01-01,-277.224
1983-04-01,-246.688
1983-07-01,-270.773
1983-10-01,-253.574
1984-01-01,-229.192
1984-04-01,-233.971
1984-07-01,-250.403
1984-10-01,-267.838
1985-01-01,-232.718
1985-04-01,-292.314
1985-07-01,-275.113
1985-10-01,-283.348
1986-01-01,-278.185
1986-04-01,-301.037
1986-07-01,-318.829
1986-10-01,-282.027
1987-01-01,-296.813
1987-04-01,-234.914
1987-07-01,-256.593
1987-10-01,-267.487
1988-01-01,-255.604
1988-04-01,-253.389
1988-07-01,-231.225
1988-10-01,-244.898
1989-01-01,-221.898
1989-04-01,-245.433
1989-07-01,-261.664
1989-10-01,-281.222
1990-01-01,-306.97
1990-04-01,-316.007
1990-07-01,-316.693
1990-10-01,-365.63
1991-01-01,-319.214
1991-04-01,-382.754
1991-07-01,-420.625
1991-10-01,-426.801
1992-01-01,-466.416
1992-04-01,-470.076
1992-07-01,-486.577
1992-10-01,-475.721
1993-01-01,-477.296
1993-04-01,-442.321
1993-07-01,-447.662
1993-10-01,-399.982
1994-01-01,-374.804
1994-04-01,-350.491
1994-07-01,-371.121
1994-10-01,-375.257
1995-01-01,-376.274
1995-04-01,-380.339
1995-07-01,-342.54
1995-10-01,-332.172
1996-01-01,-336.816
1996-04-01,-292.969
1996-07-01,-276.9
1996-10-01,-234.358
1997-01-01,-218.555
1997-04-01,-174.77
1997-07-01,-159.925
1997-10-01,-164.508
1998-01-01,-105.57
1998-04-01,-93.198
1998-07-01,-74.176
1998-10-01,-65.271
1999-01-01,-56.218
1999-04-01,-46.139
1999-07-01,-40.973
1999-10-01,-52.613
2000-01-01,60.297
2000-04-01,39.195
2000-07-01,32.477
2000-10-01,0.057
2001-01-01,-36.326
2001-04-01,-116.059
2001-07-01,-344.474
2001-10-01,-305.539
2002-01-01,-519.078
2002-04-01,-571.209
2002-07-01,-590.37
2002-10-01,-656.469
2003-01-01,-701.5
2003-04-01,-746.081
2003-07-01,-805.741
2003-10-01,-713.939
2004-01-01,-754.636
2004-04-01,-724.213
2004-07-01,-699.976
2004-10-01,-674.617
2005-01-01,-590.684
2005-04-01,-581.479
2005-07-01,-636.864
2005-10-01,-557.683
2006-01-01,-487.892
2006-04-01,-480.655
2006-07-01,-480.734
2006-10-01,-444.514
2007-01-01,-524.811
2007-04-01,-534.41
2007-07-01,-624.005
2007-10-01,-680.292
2008-01-01,-768.214
2008-04-01,-1125.506
2008-07-01,-1079.782
2008-10-01,-1434.508
2009-01-01,-1830.725
2009-04-01,-1988.947
2009-07-01,-1930.082
2009-10-01,-1900.028
2010-01-01,-1949.995
2010-04-01,-1963.406
2010-07-01,-1828.565
2010-10-01,-1779.605
2011-01-01,-1729.114
2011-04-01,-1761.779
2011-07-01,-1713.312
2011-10-01,-1702.821
2012-01-01,-1564.782
2012-04-01,-1526.119
2012-07-01,-1512.26
2012-10-01,-1430.421
2013-01-01,-1141.919
2013-04-01,-873.13
2013-07-01,-1070.098
2013-10-01,-888.364
2014-01-01,-893.117
2014-04-01,-895.838
2014-07-01,-948.136
2014-10-01,-956.774
2015-01-01,-900.633
2015-04-01,-761.323
2015-07-01,-926.554
2015-10-01,-798.695
2016-01-01,-1005.213
2016-04-01,-991.042
2016-07-01,-1031.096
2016-10-01,-1040.653
2017-01-01,-1051.414
2017-04-01,-1106.123
2017-07-01,-1116.676
2017-10-01,-68.486
2018-01-01,-1212.473
2018-04-01,-1298.541
2018-07-01,-1240.313
2018-10-01,-1303.663
2019-01-01,-1333.914
2019-04-01,-1315.545
2019-07-01,-1389.931
2019-10-01,-1430.911
2020-01-01,-1480.35
2020-04-01,-5249.559
2020-07-01,-3749.514
2020-10-01,-2374.247
2021-01-01,-4462.379
2021-04-01,-2641.359
2021-07-01,-2171.973
